TIPO DE SÍMBOLO,CARACTERÍSTICA DE SÍMBOLO,MATERIAL,ESPACIO ASOCIADO,CATEGORÍA ESPACIO,DEDICACIÓN,PERSONAJE,DIRECCIÓN,MUNICIPIO,PROVINCIA,COMUNIDAD,AÑO DE INAUGURACIÓN,ESTADO,FECHA RETIRADA,Nº HABITANTES,LATITUD,LONGITUD,FUENTE,ALTURA
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Av. de Entrevías, 126",Madrid,Madrid,Comunidad de Madrid,,Activo,,6779888,40.37625999999999,-3.66104,Participación Ciudadana,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle sierra morena, 4",Madrid,Madrid,Comunidad de Madrid,,Activo,,6779888,40.3804136,-3.6255007,Participación Ciudadana,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle sierra morena, 6",Madrid,Madrid,Comunidad de Madrid,,Activo,,6779888,40.3802184,-3.6253819,Participación Ciudadana,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle sierra morena, 26",Madrid,Madrid,Comunidad de Madrid,,Activo,,6779888,40.3789751,-3.6245255,Participación Ciudadana,ND
Nomenclatura Calle,Nomenclatura sala biblioteca,Sin Material,Espacio Urbano,Público,Vallejo Nájera,Vallejo Nájera,Paseo de Juan Antonio Vallejo-Nájera Botas,Madrid,Madrid,Comunidad de Madrid,,Activo,,6779888,40.402216033440446,-3.7082055443379347,Participación Ciudadana,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,,Laudio/Llodio,Álava,País Vasco,,Activo,,18102,42.8465088,-2.6724025,https://bideoak2.euskadi.eus/2019/10/16/news_57492/SIMBOLOGIA_FRANQUISTA_TXOSTENA_CAST.pdf,ND
Monumentos y conjuntos monumentales,Cruz,Piedra,Paraje Natural,Público,Via Crucis,Via Crucis,Peña Lemona,Lemoa,Vizcaya,País Vasco,,Activo,,3486,43.2098775,-2.7788097,https://bideoak2.euskadi.eus/2019/10/16/news_57492/SIMBOLOGIA_FRANQUISTA_TXOSTENA_CAST.pdf,ND
Monumentos y conjuntos monumentales,Cruz,Piedra,Paraje Natural,Público,Caídos,Caídos,Peña Lemona,Lemoa,Vizcaya,País Vasco,,Activo,,3486,43.2098776,-2.7788098,https://bideoak2.euskadi.eus/2019/10/16/news_57492/SIMBOLOGIA_FRANQUISTA_TXOSTENA_CAST.pdf,ND
Monumentos y conjuntos monumentales,Cruz,Piedra,Paraje Natural,Público,Caídos,Caídos,Monte Belokain,Aduna,Guipúzcoa / Gipuzkoa,País Vasco,,Activo,,469,43.22055339048498,-2.050890857298924,https://bideoak2.euskadi.eus/2019/10/16/news_57492/SIMBOLOGIA_FRANQUISTA_TXOSTENA_CAST.pdf,ND
Monumentos y conjuntos monumentales,Conjunto Monumental,Piedra,Espacio Urbano,Público,Caídos,Caídos,Monumento a los caídos,Pamplona,Navarra,Navarra,,Activo,,201653,42.809043,-1.634583,https://www.nuevatribuna.es/articulo/sociedad/monumento-caidos-pamplona-exaltacion-franquismo-debate-demolicion-resignificacion-navarra-suma/20200714110342177104.html,45
Inscripciones y lápidas conmemorativas,Inscripción,Piedra,Iglesia,Privado,Caídos,Jose Antonio Primo de Rivera,"PO-344, 30, 36740 O Mosteiro",Tomiño,Pontevedra,Galicia,,Activo,,13499,42.033,-8.733,https://arteviajero.com/articulos/tomino/,ND
Escudos y relieves,Escudo,Piedra,Institución Pública,Público,Estado Franquista,Estado Franquista,"Rúa Rosalía de Castro, 5, 36001",Pontevedra,Pontevedra,Galicia,,Activo,,941007,42.4284975,-8.6469042,https://www.diariodepontevedra.es/articulo/pontevedra/huella-franco-aun-vive-ciudad/201910251124131057973.html,ND
Escudos y relieves,Escudo,Piedra,Vivienda,Privado,Estado Franquista,Estado Franquista,"Rúa Michelena, 23, 36002",Pontevedra,Pontevedra,Galicia,,Activo,,941007,42.4308279,-8.6442693,,ND
Inscripciones y lápidas conmemorativas,Inscripción,Piedra,Iglesia,Privado,Caídos,Jose Antonio Primo de Rivera,"Balado, 13,",Concello de Bueu,Pontevedra,Galicia,,Activo,,11950,42.319101,-8.789224,Participación Ciudadana,ND
Escudos y relieves,Escudo,Piedra,Institución Pública,Público,Estado Franquista,Estado Franquista,"Gran Vía, 10",Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9667518,-5.6597139,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=16,ND
Escudos y relieves,Escudo,Piedra,Institución Pública,Público,Estado Franquista,Estado Franquista,"Calle Brocense, 1",Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.966802,-5.6638028,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=17,ND
Escudos y relieves,Escudo,Piedra,Institución Privada,Privado,Estado Franquista,Estado Franquista,"Calle Rector Lucena, 29",Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9668862,-5.6625016,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=18,ND
Escudos y relieves,Escudo,Piedra,Institución Educativa,Público,Estado Franquista,Estado Franquista,"Calle Rector Tovar, 2-20",Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9671419,-5.6627497,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=19,ND
Escudos y relieves,Escudo,Piedra,Institución Educativa,Público,Estado Franquista,Estado Franquista,"San Bernardo, 37007",Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9709722,-5.6751586,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=20,ND
Inscripciones y lápidas conmemorativas,Lápida,Mármol,Institución Militar,Público,Caídos,Caídos,65 N-620,Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.95488599999999,-5.6812112,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=21,ND
Monumentos y conjuntos monumentales,Monumento,Piedra,Espacio Urbano,Público,Victoria,Victoria,"Paseo del Doctor Torres Villarroel, 61",Salamanca,Salamanca,Castilla y León,,Activo,,144228,40.9744559,-5.6629627,https://www.google.com/maps/d/u/0/viewer?mid=12pjXNuZYH4nDPeShmYjrulrcYRw&ll=40.96660580000002%2C-5.659536099999995&z=22,ND
