TIPO DE SÍMBOLO,CARACTERÍSTICA DE SÍMBOLO,MATERIAL,ESPACIO ASOCIADO,CATEGORÍA ESPACIO,DEDICACIÓN,PERSONAJE,DIRECCIÓN,MUNICIPIO,PROVINCIA,COMUNIDAD,AÑO DE INAUGURACIÓN,ESTADO,FECHA RETIRADA,Nº HABITANTES,LATITUD,LONGITUD,FUENTE,ALTURA
Placas,Placa Conmemorativa,Cerámica,Institución Educativa,Público,Estado Franquista,Francisco Franco,Av. del Príncipe de Asturias,Zamora,Zamora,Castilla y León,,Activo,,61.406 ,41.5122606,-5.736165799999999,https://www.laopiniondezamora.es/zamora/2019/10/28/vestigios-franquismo-siguen-presentes-zamora-1128632.html,ND
Inscripciones y lápidas conmemorativas,Inscripción,Metal,Institución Privada,Privado,Estado Franquista,Francisco Franco,"Calle de santa Clara, 7",Zamora,Zamora,Castilla y León,,Activo,,61.406 ,41.506816,-5.741593000000001,https://www.laopiniondezamora.es/zamora/2019/10/28/vestigios-franquismo-siguen-presentes-zamora-1128632.html,ND
Monumentos y conjuntos monumentales,Cruz,Piedra,Espacio Urbano,Público,Caídos,Caídos,"Calle Llano, 12",Santa Cruz de la Zarza,Toledo,Castilla-La Mancha,,Activo,,4129,39.980854,-3.1889175,,ND
Inscripciones y lápidas conmemorativas,Lápida,Pintura,Iglesia,Privado,Caídos,Caídos,"Calle de la iglesia, 4",Motilla del palancar,Cuenca,Castilla-La Mancha,,Activo,,5869,39.5603101,-1.9099614,https://www.facebook.com/ciudadanosxrepublica.cuenca/,ND
Inscripciones y lápidas conmemorativas,Lápida,Piedra,Iglesia,Privado,Caídos,Caídos,"Puerta del sol, 6",Orce,Granada,Andalucía,,Activo,,1190,37.721921,-2.479183,https://www.foroporlamemoria.info/simbolos_franquistas.php?id_prov=20,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Héroes del Alcázar,Héroes del Alcázar,Calle Héroes Del Alcazar,Añover de Tajo,Toledo,Castilla-La Mancha,,Activo,,5154,39.9942953,-3.7703727,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,General Yagüe,General Yagüe,Calle General Yague,Añover de Tajo,Toledo,Castilla-La Mancha,,Activo,,5154,39.9874,-3.7671017,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Calvo Sotelo,Calvo Sotelo,Calle Calvo Sotelo,Cabezarrubias Del Puerto,Ciudad Real,Castilla-La Mancha,,Activo,,481,38.61595390000001,-4.1838083,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Héroes del Alcázar,Héroes del Alcázar,Calle Héroes Del Alcazar,Santovenia De Pisuerga,Valladolid,Castilla y León,,Activo,,4480,41.6913214,-4.6885096,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Onésimo Redondo,Onésimo Redondo,Calle Onesimo Redondo,Santovenia De Pisuerga,Valladolid,Castilla y León,,Activo,,4480,41.6922301,-4.6875731,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Calvo Sotelo,Calvo Sotelo,Calle Calvo Sotelo,Santovenia De Pisuerga,Valladolid,Castilla y León,,Activo,,4480,41.6914906,-4.687583099999999,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Jose Antonio Primo de Rivera,Jose Antonio Primo de Rivera,Calle Primo De Rivera,Tiedra,Valladolid,Castilla y León,,Activo,,288,41.6540243,-5.2645259,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Martín Villa,Martín Villa,Praje Martín Villa,Trigueros,Huelva,Andalucía,,Activo,,7713,37.3852588,-6.8377799,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Calvo Sotelo,Calvo Sotelo,Calle Calvo Sotelo,Villanueva De Tapia,Málaga,Andalucía,,Activo,,1490,37.1830532,-4.3343584,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Carlos Pinilla,Carlos Pinilla,Avda Carlos Pinilla,Zamora,Zamora,Castilla y León,,Activo,,61406,41.5141973,-5.733809099999999,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Monumentos y conjuntos monumentales,Cruz,Piedra,Espacio Urbano,Público,Caídos,Caídos,"Calle de la cruz, 13",Monforte del Cid,Alicante / Alacant,Comunidad Valenciana,,Activo,,8165,38.380339,-0.730369,Participación Ciudadana,ND
Monumentos y conjuntos monumentales,Cruz,Piedra,Espacio Urbano,Público,Caídos,Caídos,"Plaza de españa, 13",Monforte del Cid,Alicante / Alacant,Comunidad Valenciana,,Activo,,8165,38.379428,-0.729301,Participación Ciudadana,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,General Aranda,General Aranda,Calle General Aranda,Telde,"Palmas, Las",Islas Canarias,,Activo,,102647,27.9855678,-15.3946748,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Nomenclatura Calle,Nomenclatura Calle,Sin Material,Espacio Urbano,Público,Capitán Cortes,Capitán Cortés,Calle Capitán Cortes,Telde,"Palmas, Las",Islas Canarias,,Activo,,102647,27.9845206,-15.394356,http://www.todoslosnombres.org/content/noticias/nuevo-callejero-franquista-todo-el-estado-confirma-la-retirada-cerca-2000-mil,ND
Inscripciones y lápidas conmemorativas,Inscripción,Piedra,Iglesia,Privado,Caídos,Jose Antonio Primo de Rivera,Plaza quintana de mortos,Santiago de Compostela,"Coruña, A",Galicia,,Activo / En proceso de retirada ,08/03/2021,97260,42.880565000000,-8.543828000000,https://www.lavozdegalicia.es/noticia/santiago/santiago/2019/01/14/simbolos-franquistas-permanecen-vista-propiedades-privadas-santiago/0003_201901S14C4991.htm,ND
Escudos y relieves,Escudo,Piedra,Institución Educativa,Público,Estado Franquista,Estado Franquista,"Avenida das Ciencias, 15701",Santiago de Compostela,"Coruña, A",Galicia,,Retirado / Tapado,09/01/2017,97260,42.873018,-8.557266,https://www.lavozdegalicia.es/noticia/santiago/santiago/2019/01/14/simbolos-franquistas-permanecen-vista-propiedades-privadas-santiago/0003_201901S14C4991.htm,ND
Inscripciones y lápidas conmemorativas,Lápida,Piedra,Iglesia,Privado,Caídos,Jose Antonio Primo de Rivera,"Calle la Iglesia, sn",Aladrén,Zaragoza,Aragón,,Activo,,52,41.249166,-1.1560466,http://14deabril.com/memoriademocratica/aladren/,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Delegacion nacional de sindicatos,Coronel Reig,Barrio de casetas,Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.7189611,-1.0274482,http://14deabril.com/memoriademocratica/barrio-de-casetas-zaragoza/,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Falange,Falange,Travesía de las eras,Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.7189612,-1.0274483,http://14deabril.com/memoriademocratica/barrio-de-casetas-zaragoza/,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Falange,Falange,Calle de Irun,Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.7189613,-1.0274484,http://14deabril.com/memoriademocratica/barrio-de-casetas-zaragoza/,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Falange,Falange,Calle de astorga,Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.7189614,-1.0274485,http://14deabril.com/memoriademocratica/barrio-de-casetas-zaragoza/,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Delegacion nacional de sindicatos,Delegacion nacional de sindicatos,Avenida de américa 68,Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6324752,-0.8851726,http://14deabril.com/memoriademocratica/zaragoza-avda-de-america-68/,ND
Monumentos y conjuntos monumentales,Busto,Metal,Espacio Urbano,Público,Allue Salvador,Allue Salvador,Avenida Goya,Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6454068,-0.8931377,http://14deabril.com/memoriademocratica/zaragoza-avda-goya/,ND
Placas,Placa Conmemorativa,Cerámica,Vivienda,Privado,Viva España,Viva España,"Calle D. Jaime I, 35",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6541432,-0.8777081,http://14deabril.com/memoriademocratica/zaragoza-5/,ND
Escudos y relieves,Escudo,Piedra,Institución Militar,Público,Estado Franquista,Estado Franquista,"Calle General Mayandía, 3",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6561,-0.8773,http://14deabril.com/memoriademocratica/zaragoza-3/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 1",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6518015,-0.8928560999999999,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 2",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6634074,-0.8725887,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 3",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6638499,-0.8724195,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 4",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6633603,-0.8726946,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 5",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6638082,-0.8739213,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 6",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6633629,-0.8728747,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 7",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6639473,-0.8732974,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 8",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.66336949999999,-0.8732177,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 9",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6638735,-0.8733337,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 10",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6633727,-0.8734021,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 11",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.66379999999999,-0.87337,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 12",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.663376,-0.8735872,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 13",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6637612,-0.8744902999999999,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 14",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6634959,-0.873772,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 15",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6637652,-0.8746807999999999,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 16",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6634983,-0.8739452999999999,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 17",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.663808,-0.874965,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 18",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6635027,-0.8741456000000001,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 19",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.66380789999999,-0.874965,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 20",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6634792,-0.8744967,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 21",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.66380789999999,-0.874965,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 22",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6634839,-0.8746853,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 23",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.66380789999999,-0.874965,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 24",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.66348800000001,-0.8748684999999999,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 25",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.66380789999999,-0.874965,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 26",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6635447,-0.8750538999999999,http://14deabril.com/memoriademocratica/zaragoza-8/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Calle Peña Oroel, 27",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.66380789999999,-0.874965,http://14deabril.com/memoriademocratica/zaragoza-paseo-de-la-ribera/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Paseo de la Ribera, 2",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.663548,-0.8752407999999999,http://14deabril.com/memoriademocratica/zaragoza-paseo-de-la-ribera-4/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Paseo de la Ribera, 4",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6589857,-0.8772335,http://14deabril.com/memoriademocratica/zaragoza-plaza-emperador-carlos-v/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Plaza del Emperador Carlos V, 2",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6586953,-0.8764128,http://14deabril.com/memoriademocratica/zaragoza-plaza-emperador-carlos-v/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Plaza del Emperador Carlos V, 4",Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6379796,-0.8988792999999998,http://14deabril.com/memoriademocratica/zaragoza-plaza-emperador-carlos-v/,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Delegacion nacional de sindicatos,Delegacion nacional de sindicatos,Grupo Alferez Rojas,Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.638347,-0.89877,http://14deabril.com/memoriademocratica/zaragoza-9/,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Delegacion nacional de sindicatos,Delegacion nacional de sindicatos,Grupo Ortiz de Zárate,Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6449141,-0.9147729,http://14deabril.com/memoriademocratica/zaragoza-grupo-ortiz-de-zarate/,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Delegacion nacional de sindicatos,Delegacion nacional de sindicatos,Grupo Teniente Polanco,Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6688114,-0.8728859,http://14deabril.com/simbologiafranquistaennuestrascalles/,ND
Monumentos y conjuntos monumentales,Cruz,Metal,Espacio Urbano,Público,Caídos,Caídos,Plaza Santa Cruz,Zaragoza,Zaragoza,Aragón,,Activo,, 716040,41.6688261,-0.8740692,http://14deabril.com/memoriademocratica/zaragoza-plaza-santa-Cruz/,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer de Teodor Canet, 1",Port d'Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.84086629999999,3.136897,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer de Teodor Canet, 2",Port d'Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.83977,3.13775,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer de Teodor Canet, 3",Port d'Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.840899,3.1367396,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer de Teodor Canet, 4",Port d'Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.8399131,3.1376692,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer de Teodor Canet, 5",Port d'Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.8410094,3.1366403,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer de Teodor Canet, 6",Port d'Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.8399914,3.1376054,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer de Teodor Canet, 7",Port d'Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.8410074,3.1364457,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer Torrent, 6",Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.8398353,3.1413035,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer Torrent, 7",Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.8401698,3.1414427,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer Torrent, 9",Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.83984,3.14162,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer Torrent, 10",Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.8403362,3.1416672,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer Torrent, 11",Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.8401816,3.141909,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer Torrent, 12",Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.8403981,3.1412064,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Carrer Torrent, 14",Alcúdia,Mallorca,Islas Baleares,1954,Activo,,4200,39.8402126,3.1420894,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Monumentos y conjuntos monumentales,Cruz,Piedra,Espacio Urbano,Público,Caídos,Caídos,Carrer del Castellet,Artà,Mallorca,Islas Baleares,1942,Activo,,7845,39.6966437,3.3520167,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Monumentos y conjuntos monumentales,Cruz,Piedra,Espacio Urbano,Público,Caídos,Caídos,Carrer Pare Cerdà,Bunyola,Mallorca,Islas Baleares,1939,Retirado,03/03/2021,6809,39.6953576,2.7005478,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Azulejo,Cerámica,Institución Privada,Privado,Junta provincial de turismo,Junta provincial de turismo,"Passeig Illetes, 7",Ses-Illetes,Mallorca,Islas Baleares,1940,Activo,,2990,39.5439734,2.5960773,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Monumentos y conjuntos monumentales,Monumento,Piedra,Institución Militar,Público,Caídos,Caídos,Ciutadella,Maó,Menorca,Islas Baleares,,Activo,,29040,39.8900448,4.2452499,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Inscripciones y lápidas conmemorativas,Lápida,Piedra,Cementerio,Público,Caídos,Caídos,07420 Sa Pobla,"Pobla, Sa",Mallorca,Islas Baleares,,Activo,,13475,39.7697384,3.0250778,http://www.caib.es/pidip2front/jsp/adjunto?codi=2295880&idioma=es,ND
Placas,Placa Vivienda,Piedra,Vivienda,Privado,Obra Sindical del Hogar,Obra Sindical del Hogar,"Melilla, s/n",Amposta,Tarragona,Cataluña,1956,Activo,,20738,40.7115598,0.5835802999999999,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Inscripciones y lápidas conmemorativas,Lápida,Piedra,Cementerio,Público,Caídos,Caídos,"Indústria, s/n",Amposta,Tarragona,Cataluña,1940,Activo,,20738,40.7066617,0.587448,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 1",Arenys de Mar,Barcelona,Cataluña,1965,Retirado,06/09/2021,15776,41.57733109999999,2.5454788,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 2",Arenys de Mar,Barcelona,Cataluña,1965,Retirado,06/09/2021,15776,41.5783288,2.5346498,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 3",Arenys de Mar,Barcelona,Cataluña,1965,Retirado,06/09/2021,15776,41.5783288,2.5346498,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 4",Arenys de Mar,Barcelona,Cataluña,1960,Retirado,06/09/2021,15776,41.57733109999999,2.5454788,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 5",Arenys de Mar,Barcelona,Cataluña,1965,Retirado,06/09/2021,15776,41.57733109999999,2.5454788,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 6",Arenys de Mar,Barcelona,Cataluña,1960,Retirado,06/09/2021,15776,41.5777213,2.5472145,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 8",Arenys de Mar,Barcelona,Cataluña,1965,Retirado,06/09/2021,15776,41.5795204,2.5516088,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 7",Arenys de Mar,Barcelona,Cataluña,1965,Retirado,06/09/2021,15776,41.5783288,2.5346498,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 9",Arenys de Mar,Barcelona,Cataluña,1965,Retirado,06/09/2021,15776,41.57733109999999,2.5454788,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 10",Arenys de Mar,Barcelona,Cataluña,1965,Retirado,06/09/2021,15776,41.57733109999999,2.5454788,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 11",Arenys de Mar,Barcelona,Cataluña,1960,Retirado,06/09/2021,15776,39.580949,2.3508103,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
Placas,Placa Vivienda,Metal,Vivienda,Privado,INV,INV,"Pietat, de la (edifici de Sant Elm), 12",Arenys de Mar,Barcelona,Cataluña,1965,Retirado,06/09/2021,15776,41.5777213,2.5472145,https://banc.memoria.gencat.cat/ca/app/#/results/cens_simbologia?,ND
